File path; File name; Scanner type; Date and time; Duration; Scan mode; Type; Frequency; Code; Favorite name; System name; Department name; Channel name; Site; TGID; UID; UID Name; Latitude; Longitude
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_17-57-57.wav;2020-06-21_17-57-57.wav;BCDx36HP;6/21/2020 5:58:02 PM;00:00:05;Normal scan mode;P25Standard;857.2375;;HoCo;Howard County (Project 25);Fire;A1 Dispatch;Site 2;10901;111;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-20_23-04-46.wav;2020-06-20_23-04-46.wav;BCDx36HP;6/20/2020 11:04:48 PM;00:00:01;Normal scan mode;Edacs;851.3125;;Transit;Bay Area Rapid Transit (BART);Train Yards & Shops;Richmond Shop;Simulcast;03-021;;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-21-22.wav;2020-06-21_18-21-22.wav;BCDx36HP;6/21/2020 6:21:27 PM;00:00:04;Normal scan mode;P25Standard;857.2375;;HoCo;Howard County (Project 25);Police;District 2 Dispatch (Fire A10/B10/C10/D10);Site 2;10963;2468040;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-22_23-15-18.wav;2020-06-22_23-15-18.wav;BCDx36HP;6/22/2020 11:15:24 PM;00:00:05;Normal scan mode;Edacs;851.5625;;Transit;Bay Area Rapid Transit (BART);Maintenance;Power & Way 1 (3rd Rail Power Distribution);Simulcast;02-141;;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-22_00-32-22.wav;2020-06-22_00-32-22.wav;BCDx36HP;6/22/2020 12:32:26 AM;00:00:04;Normal scan mode;Edacs;851.5625;;Transit;Bay Area Rapid Transit (BART);Train Operations;C Line (Pittsburg/Bay Point);Simulcast;02-026;16107;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-22_00-32-36.wav;2020-06-22_00-32-36.wav;BCDx36HP;6/22/2020 12:32:37 AM;00:00:01;Normal scan mode;Edacs;852.8125;;Transit;Bay Area Rapid Transit (BART);Train Operations;W Line (Daly City-Millbrae);Simulcast;02-022;;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_16-25-59.wav;2020-06-21_16-25-59.wav;BCDx36HP;6/21/2020 4:26:02 PM;00:00:02;Normal scan mode;P25Standard;851.9875;;HoCo;Howard County (Project 25);Police;District 1 Dispatch (Fire A9/B9/C9/D9);Site 2;10961;109;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-07-32.wav;2020-06-21_18-07-32.wav;BCDx36HP;6/21/2020 6:07:34 PM;00:00:02;Normal scan mode;P25Standard;852.6375;;HoCo;Howard County (Project 25);Fire;A1 Dispatch;Site 2;10901;111;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-22_00-35-17.wav;2020-06-22_00-35-17.wav;BCDx36HP;6/22/2020 12:35:21 AM;00:00:03;Normal scan mode;P25Standard;770.2937;;180683-Alameda CA;East Bay Regional Communications System (EBRCS);Oakland;Police Patrol 1;ALCO Northwest Simulcast;3405;3204204;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-22_00-35-03.wav;2020-06-22_00-35-03.wav;BCDx36HP;6/22/2020 12:35:06 AM;00:00:02;Normal scan mode;P25Standard;770.2937;;180683-Alameda CA;East Bay Regional Communications System (EBRCS);Oakland;Police Patrol 1;ALCO Northwest Simulcast;3405;3204204;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-13-53.wav;2020-06-21_18-13-53.wav;BCDx36HP;6/21/2020 6:13:58 PM;00:00:05;Normal scan mode;P25Standard;852.8000;;HoCo;Howard County (Project 25);Police;District 2 Dispatch (Fire A10/B10/C10/D10);Site 2;10963;2468258;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-20_22-52-49.wav;2020-06-20_22-52-49.wav;BCDx36HP;6/20/2020 10:52:53 PM;00:00:04;Normal scan mode;Edacs;852.2375;;Transit;Bay Area Rapid Transit (BART);Police;Police Dispatch;Simulcast;00-022;;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-20_23-12-22.wav;2020-06-20_23-12-22.wav;BCDx36HP;6/20/2020 11:12:24 PM;00:00:02;Normal scan mode;Edacs;852.8125;;Transit;Bay Area Rapid Transit (BART);Train Yards & Shops;Tower - Hayward Yard;Simulcast;02-063;6846;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-02-16.wav;2020-06-21_18-02-16.wav;BCDx36HP;6/21/2020 6:02:17 PM;00:00:01;Normal scan mode;P25Standard;851.3875;;HoCo;Howard County (Project 25);Police;District 2 Dispatch (Fire A10/B10/C10/D10);Site 2;10963;2466056;;;
